version,1.0,1.0.1,1.0.2,1.0.3,1.0.4,1.1,1.1.1,1.1.2,1.1.3,1.1.3.1,1.1.4,1.2,1.2.1,1.2.2,1.2.3,1.2.4,1.2.5,1.2.6,1.3,1.3.0,1.3.1,1.3.2,1.4,1.4.0,1.4.1,1.4.2,1.4.3,1.4.4,1.5,1.5.0,1.5.1,1.5.2,1.6,1.6.0,1.6.1,1.6.2,1.6.3,1.6.4,1.7,1.7.0,1.7.1,1.7.2,1.8.0,1.8.1,1.8.2,1.8.3,1.9.0,1.9.1,1.10.0,1.10.1,1.10.2,1.11.0,1.11.1,1.11.2,1.11.3,1.12.0,1.12.1,1.12.2,1.12.3,1.12.4,2.0.0,2.0.1,2.0.2,2.0.3,2.1.0,2.1.1,2.1.2,2.1.3,2.1.4,2.2.0,2.2.1,2.2.2,2.2.3,2.2.4,3.0.0,3.1.0,3.1.1,3.2.0,3.2.1,3.3.0,3.3.1,3.4.0,3.4.1
1.0,0.0,0.9984535086023584,0.8937416331994645,0.8605144749129807,0.7449349365837589,0.17032484635645304,0.16112666200139958,0.15771783159527708,0.09241253220310812,0.09088643349671845,0.08692883298837764,0.05664086497112667,0.05645358804800392,0.04184198223468911,0.03705861787670435,0.033948847344879,0.033948847344879,0.033929390187987164,0.03058623619371283,0.03058623619371283,0.030267629566694987,0.030366492146596858,0.02963841138114997,0.02963841138114997,0.03197018730999313,0.03070387177754176,0.02990277013392038,0.02981152591518666,0.02380157006848171,0.02380157006848171,0.02362855254461335,0.023542970036219954,0.026755323359455394,0.026755323359455394,0.02661836509686565,0.024639045825486504,0.023660784007496487,0.023422860712054967,0.018414793217217833,0.018414793217217833,0.015385798907608278,0.013325211299779182,0.015842349304482226,0.015836230204712243,0.01583133832728396,0.01581424053074134,0.016529566971907498,0.0163312693498452,0.015633423180592992,0.0156370358958558,0.016166281755196306,0.009882005899705015,0.010774907749077491,0.010757838116641492,0.010755856785030205,0.016673472165509733,0.016674606955693186,0.016689373297002725,0.01669733524160022,0.016704165814413308,0.014391447368421052,0.0143607418348925,0.014366636565142435,0.014925373134328358,0.007600184246890834,0.007574308557438507,0.007568518023011353,0.007568518023011353,0.007567071772529237,0.018407596785975165,0.018407596785975165,0.018404907975460124,0.018404907975460124,0.018442622950819672,0.02158222473818285,0.021588824608437984,0.021301940999229205,0.01999021458027539,0.019980438731312004,0.019751381215469613,0.019751381215469613,0.021133460179396574,0.02097902097902098
1.0.1,0.0,0.0,0.8937416331994645,0.8605144749129807,0.7449349365837589,0.17032484635645304,0.16112666200139958,0.15771783159527708,0.09241253220310812,0.09088643349671845,0.08692883298837764,0.05664086497112667,0.05645358804800392,0.04184198223468911,0.03705861787670435,0.033948847344879,0.033948847344879,0.033929390187987164,0.03058623619371283,0.03058623619371283,0.030267629566694987,0.030366492146596858,0.02963841138114997,0.02963841138114997,0.03197018730999313,0.03070387177754176,0.02990277013392038,0.02981152591518666,0.02380157006848171,0.02380157006848171,0.02362855254461335,0.023542970036219954,0.026755323359455394,0.026755323359455394,0.02661836509686565,0.024639045825486504,0.023660784007496487,0.023422860712054967,0.018414793217217833,0.018414793217217833,0.015385798907608278,0.013325211299779182,0.015842349304482226,0.015836230204712243,0.01583133832728396,0.01581424053074134,0.016529566971907498,0.0163312693498452,0.015633423180592992,0.0156370358958558,0.016166281755196306,0.009882005899705015,0.010774907749077491,0.010757838116641492,0.010755856785030205,0.016673472165509733,0.016674606955693186,0.016689373297002725,0.01669733524160022,0.016704165814413308,0.014391447368421052,0.0143607418348925,0.014366636565142435,0.014925373134328358,0.007600184246890834,0.007574308557438507,0.007568518023011353,0.007568518023011353,0.007567071772529237,0.018407596785975165,0.018407596785975165,0.018404907975460124,0.018404907975460124,0.018442622950819672,0.02158222473818285,0.021588824608437984,0.021301940999229205,0.01999021458027539,0.019980438731312004,0.019751381215469613,0.019751381215469613,0.021133460179396574,0.02097902097902098
1.0.2,0.0,0.0,0.0,0.9581621217781098,0.8268839103869654,0.1814404432132964,0.17073170731707318,0.1676129911424029,0.09846762959161229,0.09770578318551638,0.0858977978543196,0.060236018471010774,0.060069586573884566,0.04782523125369022,0.043781289879257876,0.038934624697336565,0.038934624697336565,0.03891577928363989,0.03747051351841771,0.03747051351841771,0.037198330611504266,0.03719971315883829,0.037005457025920875,0.037005457025920875,0.038973142421418284,0.03778316475800385,0.03677646306363927,0.03662395190634393,0.03085419734904271,0.03085419734904271,0.030634573304157548,0.030536571179293297,0.03314839525247559,0.03314839525247559,0.032997762863534674,0.03121951219512195,0.03032195392728282,0.03010961565144998,0.025411571828676822,0.025411571828676822,0.022868880520369738,0.020964787299002648,0.023305376048398184,0.023297367878496324,0.023290965304019237,0.02326858397968289,0.02332321280706597,0.023130937629078894,0.02220546912480296,0.02221003564573622,0.02267744587558235,0.012567012462577456,0.013620845816205672,0.013600473059932519,0.013598108089309313,0.022515337423312885,0.022516718817105343,0.022534692373818003,0.02254438233306714,0.022552694647575738,0.02150225192503269,0.021461716937354988,0.021469500253862333,0.021956521739130434,0.011533733458673801,0.011496738386131834,0.01148845752151835,0.01148845752151835,0.01148638916894714,0.02471234309623431,0.02471234309623431,0.024709112302261735,0.024709112302261735,0.02475442043222004,0.027385944846867454,0.02737642585551331,0.02720917049820495,0.02601646452585936,0.02600502512562814,0.025115006838244438,0.025115006838244438,0.026283543683372136,0.026140189776553413
1.0.3,0.0,0.0,0.0,0.0,0.8452302025782689,0.17741558137721283,0.16657598134473378,0.16239644062595887,0.09267785533937324,0.09161098737936155,0.07867095391211147,0.04837024655244463,0.04823419106156891,0.034037441185303836,0.029958058717795086,0.0252167060677699,0.0252167060677699,0.025204292606084474,0.024610563185547055,0.024610563185547055,0.024334040003686976,0.024492397341345715,0.024924275205538728,0.024924275205538728,0.02699914015477214,0.025954198473282442,0.025456019456830157,0.025423049161921566,0.020362497202953682,0.020362497202953682,0.020240821452315875,0.020175244827332302,0.02317645386037253,0.02317645386037253,0.023069846436911755,0.021302109049869507,0.02043682842896271,0.020223298925637245,0.015622839762201022,0.015622839762201022,0.013026607538802661,0.011190443498558286,0.013427955193766088,0.01342328557518431,0.013419552218050341,0.013406501806057238,0.013408757594804106,0.013237650665366125,0.012345679012345678,0.012348248352410683,0.012826735075920404,0.007529856757608658,0.008586548908281639,0.008573628219484883,0.008572128337007103,0.013703726669560365,0.01370457646037455,0.013715633339539502,0.01372159443685583,0.01372670807453416,0.011035091591260208,0.011014024524561275,0.011018069634200088,0.011521244587950393,0.0062943423685646715,0.006274026256618554,0.006269478872218598,0.006269478872218598,0.006268343055907823,0.015340871520201018,0.015340871520201018,0.015338842975206612,0.015338842975206612,0.015367291514870504,0.01831031159653068,0.018325110527327482,0.018211920529801324,0.017026683608640406,0.017019114752016257,0.01621315905234714,0.01621315905234714,0.017524304910520774,0.0173864620715258
1.0.4,0.0,0.0,0.0,0.0,0.0,0.3116942211436372,0.2995161778046568,0.28688708112545713,0.19697736640393376,0.19547458974915058,0.13776291962668896,0.07589330649219929,0.07568761292913069,0.05767001545595054,0.05483280331502361,0.04992867332382311,0.04992867332382311,0.04990494296577947,0.04780592222618623,0.04780592222618623,0.04753835176596504,0.047417592102943766,0.043631481792247025,0.043631481792247025,0.04552655715834237,0.044268904797169426,0.04299889746416759,0.042783665835411475,0.036673928830791576,0.036673928830791576,0.03640287769784173,0.03628800917957545,0.03867211864994109,0.03867211864994109,0.0384986891127363,0.03672627235213205,0.03581701136830571,0.035606683100520405,0.030885427203452696,0.030885427203452696,0.028387968908415006,0.026458570567352135,0.028840933767643864,0.028831151210908353,0.02882332994235334,0.028795988888136052,0.028878899332516007,0.02867627072574069,0.027738312698734863,0.027743943700094736,0.028202353577708644,0.01545856965002075,0.01650747508305648,0.016482946888282248,0.016480099502487564,0.027471194663432383,0.027472860695008795,0.02749453750910415,0.02750622381443925,0.027516248557371073,0.027371739753511034,0.027320841081390358,0.027330614581097517,0.027805575411007862,0.014543234702671647,0.01449690374771808,0.014486532889795043,0.014486532889795043,0.014483942493383879,0.0299625468164794,0.0299625468164794,0.029958677685950414,0.029958677685950414,0.03001293661060802,0.0324585635359116,0.03243581715716969,0.03223999502085019,0.031050114885425077,0.031036623215394164,0.030105677070533302,0.030105677070533302,0.031189437984496124,0.031043872919818458
1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.9816447579352356,0.920692654384439,0.6369962529632178,0.6338200443391178,0.4589151844774364,0.17445279320483503,0.1739413680781759,0.13833333333333334,0.13194805194805195,0.1143091262931476,0.1143091262931476,0.11425061425061425,0.06481835564053537,0.06481835564053537,0.06453154875717017,0.06220502171040211,0.04755507791509941,0.04755507791509941,0.0495507517124811,0.048153670730637664,0.04537083542608405,0.0451158940397351,0.036334306345060685,0.036334306345060685,0.036051110435047155,0.03593086719223772,0.03845872632887329,0.03845872632887329,0.03827681560180469,0.0364084711343197,0.03545126353790614,0.03522956973722206,0.03026212971513817,0.03026212971513817,0.027629423912269458,0.025604852930803414,0.02810354691075515,0.028093502037315032,0.028085471307082114,0.028057399871492826,0.027135678391959798,0.026926382125465484,0.02594625418775394,0.02595180379295594,0.026435798774405016,0.014238034370117881,0.015314098919840818,0.01529073686451201,0.015288024971623156,0.02586097344008133,0.025862616763042513,0.025883998982447216,0.025895527136221924,0.025905416587104577,0.025446834292638595,0.025396825396825397,0.025406427221172024,0.025910258347182354,0.013249188072040154,0.013205812028692294,0.013196103657415916,0.013196103657415916,0.013193678794560824,0.028369757024569023,0.028369757024569023,0.028365906623235612,0.028365906623235612,0.028419907533315202,0.031035846072746443,0.031015902221054013,0.03081945804766569,0.029574620545892775,0.029561140773538223,0.028600876062870394,0.028600876062870394,0.029758883248730963,0.029607557218030812
1.1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9570494128772953,0.6977665980638769,0.6946582336356016,0.5237397420867527,0.19262872628726288,0.19206658019887593,0.15484339348682846,0.14844315713251266,0.12422233554309026,0.12422233554309026,0.12415902140672783,0.06789183012759474,0.06789183012759474,0.0676061702532851,0.06525009402030839,0.04737687366167023,0.04737687366167023,0.04936630328813259,0.047976929126977194,0.04521187854521188,0.044959577627454214,0.03621745788667688,0.03621745788667688,0.03593631539044731,0.035816835423908115,0.038340986952401776,0.038340986952401776,0.0381601857225769,0.03629790310918293,0.03534408292542471,0.03512307470850727,0.03017210850626815,0.03017210850626815,0.027547035853745117,0.025529221464237993,0.02801939255668045,0.028009407740004277,0.028001425008906306,0.027973521247063846,0.027054108216432865,0.026845637583892617,0.02586880818705138,0.02587432470855843,0.026356919579425972,0.014216833297879884,0.015291279358546796,0.015267986822062419,0.01526528299213714,0.02579214195183777,0.025793776538437164,0.025815045033616642,0.025826511834507265,0.025836348632006602,0.025366148271176205,0.02531645569620253,0.025325996834250394,0.025828313253012047,0.013228683027489129,0.013185440922613582,0.013175762469262671,0.013175762469262671,0.013173345075590783,0.028289117487818084,0.028289117487818084,0.02828528894302341,0.02828528894302341,0.028338983050847456,0.030950190563806018,0.0309305373525557,0.030735169629484926,0.029493925810433315,0.029480519480519482,0.028523705512013362,0.028523705512013362,0.029679787368687507,0.029528928232690484
1.1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7157261098570353,0.7131036557845645,0.5363629785078515,0.1978501489995743,0.1966465032367611,0.15194130235402017,0.14565968692823744,0.1218925421010425,0.1218925421010425,0.12183147981164212,0.06624191886067647,0.06624191886067647,0.0659608357537712,0.06366244101045619,0.046752790227612265,0.046752790227612265,0.04871660555264536,0.04735663853969347,0.04465827781889958,0.04441552102822745,0.035295896001813924,0.035295896001813924,0.035027318314497416,0.034912346139500186,0.037437005039596835,0.037437005039596835,0.03726262988176281,0.03542604099707164,0.03448766266088317,0.03426946320654106,0.02939118264520644,0.02939118264520644,0.026795735129068462,0.024808895066018067,0.027259280129604845,0.027249683143219267,0.027242010418133185,0.02721518987341772,0.026302764618539205,0.026098610425336812,0.025136918972054487,0.025142215043191234,0.02561942865164596,0.013919723719914016,0.01498748104524456,0.014964788732394365,0.014962154550255237,0.02513948968716695,0.025141065830721003,0.02516157369642969,0.02517263025737602,0.025182115046470735,0.024595662219572184,0.024548091943762552,0.02455722577764548,0.025053899338339156,0.012926141565051815,0.012884152127892547,0.012874753811364797,0.012874753811364797,0.012872406374211429,0.027564059677527262,0.027564059677527262,0.02756037193123286,0.02756037193123286,0.027612090342470343,0.030216388329326143,0.030198950165251766,0.030010303967027304,0.02878437419686456,0.028771434076167234,0.027832496663913072,0.027832496663913072,0.028986414574594627,0.028837733016389342
1.1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9863013698630136,0.7805460032282967,0.2958477508650519,0.29442809296660916,0.22757004783754758,0.21425788858589795,0.16663463386507785,0.16663463386507785,0.1665546057055038,0.08574259209222733,0.08574259209222733,0.0844816716202828,0.08205036931565364,0.04792954526208824,0.04792954526208824,0.049814877145742176,0.048488874128196614,0.045833664310112,0.04574392831879274,0.03682014493814508,0.03682014493814508,0.03654557319991299,0.036429345861944344,0.03763966480446927,0.03763966480446927,0.037469586374695864,0.03568706257362622,0.034775408818050094,0.034563642635391516,0.029823369565217393,0.029823369565217393,0.027304916246765627,0.023144399460188935,0.025500786217269433,0.02549207217058502,0.025485105220005466,0.02546075085324232,0.024565978178823854,0.02437187649756966,0.023446019629225736,0.023450814643124956,0.023914968999114262,0.013225952025549345,0.014277277937958107,0.014255983350676378,0.014253511357724987,0.023624931322874063,0.023626373626373626,0.023645139610191237,0.02365525672371638,0.02366393542864131,0.02282082761609013,0.022778058098464643,0.022786270550908566,0.02326921691520784,0.012221060600598436,0.012181974989219491,0.01217322608445849,0.01217322608445849,0.012171040821455498,0.025882811991936008,0.025882811991936008,0.025879445997789192,0.025879445997789192,0.025926649729659305,0.028510019596687527,0.028497572662505518,0.02832435142248402,0.02713517569088408,0.02712330479345041,0.026226263376012866,0.026226263376012866,0.027373041516795708,0.02722953216374269
1.1.3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.787132533501719,0.3061037639877925,0.3046565892259308,0.23441007124036303,0.22108644859813084,0.17156580211335254,0.17156580211335254,0.171483437349976,0.08571171333393356,0.08571171333393356,0.08445124696137571,0.0820211724935504,0.047913315838483024,0.047913315838483024,0.04979811574697174,0.04847277556440903,0.045819105852457714,0.045729551347528874,0.03680936699597512,0.03680936699597512,0.0365349764407394,0.036418816388467376,0.03762915386763474,0.03762915386763474,0.03745917019945792,0.03567717353654312,0.03476581361661033,0.034554107179805504,0.029815267590328716,0.029815267590328716,0.027297481279782165,0.02313815434430653,0.025493814503451576,0.025485105220005466,0.025478142076502733,0.02545380100996315,0.02455923715442135,0.024365204298131545,0.02343962932679204,0.02344442172698153,0.023908453102649684,0.013224115789108327,0.014275294362821715,0.014254005687729764,0.01425153438052637,0.023619163869392737,0.02362060546875,0.023639362286970864,0.0236494744561232,0.02365814891796063,0.022814237239188507,0.022771492397492252,0.022779700115340255,0.023262513503781057,0.012219298561799373,0.012180224202356999,0.012171477811288238,0.012171477811288238,0.01216929317586244,0.025876080879006568,0.025876080879006568,0.0258727166352467,0.0258727166352467,0.02591989579941387,0.02850281236175188,0.02849038764576111,0.028317253477007892,0.02712839104888111,0.02711652608559825,0.026219776142477273,0.026219776142477273,0.02736636801365271,0.027222898903775883
1.1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3827136648961854,0.3727605471007513,0.28806164129223916,0.2666481430026859,0.19954275262917237,0.19954275262917237,0.19945155393053016,0.09800550206327373,0.09800550206327373,0.09491059147180192,0.09246982831888492,0.04919760090776463,0.04919760090776463,0.050994924675743174,0.049709695378986715,0.047110840067083395,0.04655900996076064,0.03791402396053559,0.03791402396053559,0.03763966480446927,0.03752436647173489,0.03865580173749074,0.03865580173749074,0.0384873273434357,0.03676470588235294,0.0358807082945014,0.03567625133120341,0.031084005508557937,0.031084005508557937,0.028655931646401577,0.024627011531695876,0.026920031670625493,0.026911153617835235,0.026904055390702276,0.026879241056723104,0.026023043305522447,0.02583245243128964,0.02493257022564305,0.024937491775233585,0.025384716559252927,0.01418052904281429,0.015213535270841861,0.015191253108075889,0.015188666394224221,0.02495564754583087,0.02495712342539476,0.024976325757575756,0.024986677719225532,0.024995557661553043,0.024415692821368948,0.024371615053464798,0.02438007918316316,0.024843858431644692,0.013230507994905901,0.013188983319815214,0.013179687775310991,0.013179687775310991,0.01317736593615672,0.027222431786747138,0.027222431786747138,0.027219009303495096,0.027219009303495096,0.02726700251889169,0.029728407144604844,0.029713239780353874,0.029538424213016317,0.028384675906312412,0.02837265577737447,0.027491614758025876,0.027491614758025876,0.028584927947082447,0.028444969017409266
1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9449572075851653,0.6986927075129942,0.6586131157828679,0.4714373464373464,0.4714373464373464,0.4680067515728096,0.22277708420030518,0.22277708420030518,0.21695103343043418,0.20713604793681056,0.05281111813013266,0.05281111813013266,0.0555694618272841,0.05349693251533742,0.050143760782058656,0.0490429267187677,0.036961195863622405,0.036961195863622405,0.036576740426391835,0.036414847600844985,0.03356992135046998,0.03356992135046998,0.03336192927270994,0.030938597323716427,0.03094631569015945,0.031034808036977644,0.025124699796785516,0.025124699796785516,0.02168272794662713,0.01519311733479773,0.01751607192769962,0.017507915813000558,0.017501396388009682,0.017478616586091483,0.017136435995879763,0.01689536077662653,0.015680089070328446,0.01568445475638051,0.016321988314940184,0.00899128968811464,0.009159201381914594,0.009143407122232916,0.009141574114911191,0.016977656763033554,0.016979016498478296,0.016996712899863705,0.01700625701909193,0.017014446227929372,0.013362805184366522,0.013327988776430504,0.013334670142370162,0.014018223690798037,0.006542252044453764,0.006517924291802457,0.006512482257660516,0.006512482257660516,0.0065111231687466084,0.019420012191935905,0.019420012191935905,0.019416630387461907,0.019416630387461907,0.0194640830933054,0.023144654088050314,0.02314698754909334,0.022960875331564986,0.02140495867768595,0.02139258280333691,0.02028843803471034,0.02028843803471034,0.021904228955152292,0.02172176968535378
