version,1.0,1.0.1,1.0.2,1.0.3,1.0.4,1.1,1.1.1,1.1.2,1.1.3,1.1.3.1,1.1.4,1.2,1.2.1,1.2.2,1.2.3,1.2.4,1.2.5,1.2.6,1.3,1.3.0,1.3.1,1.3.2,1.4,1.4.0,1.4.1,1.4.2,1.4.3,1.4.4,1.5,1.5.0,1.5.1,1.5.2,1.6,1.6.0,1.6.1,1.6.2,1.6.3,1.6.4,1.7,1.7.0,1.7.1,1.7.2,1.8.0,1.8.1,1.8.2,1.8.3,1.9.0,1.9.1,1.10.0,1.10.1,1.10.2,1.11.0,1.11.1,1.11.2,1.11.3,1.12.0,1.12.1,1.12.2,1.12.3,1.12.4,2.0.0,2.0.1,2.0.2,2.0.3,2.1.0,2.1.1,2.1.2,2.1.3,2.1.4,2.2.0,2.2.1,2.2.2,2.2.3,2.2.4,3.0.0,3.1.0,3.1.1,3.2.0,3.2.1,3.3.0,3.3.1,3.4.0,3.4.1
1.0,0,10330,10682,10136,9045,1940,1842,1830,1112,1094,1092,461,461,358,318,296,296,296,288,288,285,290,300,300,326,318,326,329,285,285,286,286,338,338,338,314,303,300,240,240,200,175,205,205,205,205,213,211,203,203,210,268,292,292,292,245,245,245,245,245,175,175,175,182,198,198,198,198,198,252,252,252,252,252,305,306,304,286,286,286,286,311,309
1.0.1,0,0,10682,10136,9045,1940,1842,1830,1112,1094,1092,461,461,358,318,296,296,296,288,288,285,290,300,300,326,318,326,329,285,285,286,286,338,338,338,314,303,300,240,240,200,175,205,205,205,205,213,211,203,203,210,268,292,292,292,245,245,245,245,245,175,175,175,182,198,198,198,198,198,252,252,252,252,252,305,306,304,286,286,286,286,311,309
1.0.2,0,0,0,12825,11368,2358,2226,2214,1343,1333,1217,587,587,486,446,402,402,402,413,413,410,415,434,434,460,452,460,463,419,419,420,420,472,472,472,448,437,434,372,372,334,309,339,339,339,339,338,336,324,324,331,361,391,391,391,367,367,367,367,367,296,296,296,303,319,319,319,319,319,378,378,378,378,378,431,432,432,414,414,404,404,429,427
1.0.3,0,0,0,0,11474,2275,2143,2117,1248,1234,1101,463,463,340,300,256,256,256,267,267,264,269,288,288,314,306,314,317,273,273,274,274,326,326,326,302,291,288,226,226,188,163,193,193,193,193,192,190,178,178,185,215,245,245,245,221,221,221,221,221,150,150,150,157,173,173,173,173,173,232,232,232,232,232,285,286,286,268,268,258,258,283,281
1.0.4,0,0,0,0,0,4110,3962,3844,2724,2704,1978,754,754,597,569,525,525,525,536,536,533,538,520,520,546,538,546,549,505,505,506,506,558,558,558,534,523,520,458,458,420,395,425,425,425,425,424,422,410,410,417,447,477,477,477,453,453,453,453,453,382,382,382,389,405,405,405,405,405,464,464,464,464,464,517,518,518,500,500,490,490,515,513
1.1,0,0,0,0,0,0,12247,11644,8330,8291,6244,1602,1602,1328,1270,1116,1116,1116,678,678,675,659,531,531,557,549,542,545,473,473,474,474,526,526,526,502,491,488,426,426,388,363,393,393,393,393,378,376,364,364,371,401,431,431,431,407,407,407,407,407,336,336,336,343,359,359,359,359,359,418,418,418,418,418,471,472,472,454,454,444,444,469,467
1.1.1,0,0,0,0,0,0,0,12144,9154,9116,7148,1777,1777,1493,1435,1218,1218,1218,713,713,710,694,531,531,557,549,542,545,473,473,474,474,526,526,526,502,491,488,426,426,388,363,393,393,393,393,378,376,364,364,371,401,431,431,431,407,407,407,407,407,336,336,336,343,359,359,359,359,359,418,418,418,418,418,471,472,472,454,454,444,444,469,467
1.1.2,0,0,0,0,0,0,0,0,9512,9480,7412,1859,1853,1491,1433,1216,1216,1216,707,707,704,688,532,532,558,550,543,546,467,467,468,468,520,520,520,496,485,482,420,420,382,357,387,387,387,387,372,370,358,358,365,395,425,425,425,401,401,401,401,401,330,330,330,337,353,353,353,353,353,412,412,412,412,412,465,466,466,448,448,438,438,463,461
1.1.3,0,0,0,0,0,0,0,0,0,13536,11122,2907,2901,2331,2200,1734,1734,1734,952,952,938,922,566,566,592,584,577,582,503,503,504,504,539,539,539,515,504,501,439,439,401,343,373,373,373,373,358,356,344,344,351,381,411,411,411,387,387,387,387,387,316,316,316,323,339,339,339,339,339,398,398,398,398,398,451,452,452,434,434,424,424,449,447
1.1.3.1,0,0,0,0,0,0,0,0,0,0,11219,3009,3003,2402,2271,1786,1786,1786,952,952,938,922,566,566,592,584,577,582,503,503,504,504,539,539,539,515,504,501,439,439,401,343,373,373,373,373,358,356,344,344,351,381,411,411,411,387,387,387,387,387,316,316,316,323,339,339,339,339,339,398,398,398,398,398,451,452,452,434,434,424,424,449,447
1.1.4,0,0,0,0,0,0,0,0,0,0,0,3963,3870,3103,2879,2182,2182,2182,1140,1140,1104,1088,607,607,633,625,618,617,538,538,539,539,574,574,574,550,539,536,474,474,436,378,408,408,408,408,393,391,379,379,386,416,446,446,446,422,422,422,422,422,351,351,351,358,374,374,374,374,374,433,433,433,433,433,486,487,487,469,469,459,459,484,482
1.2,0,0,0,0,0,0,0,0,0,0,0,0,5631,4436,4198,3070,3070,3050,1606,1606,1564,1521,418,418,444,436,436,433,361,361,362,362,350,350,350,326,328,329,272,272,234,166,188,188,188,188,183,181,169,169,176,224,228,228,228,212,212,212,212,212,133,133,133,140,156,156,156,156,156,223,223,223,223,223,276,277,277,259,259,249,249,274,272
1.2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,4669,4454,3246,3246,3198,1735,1735,1693,1650,477,477,503,495,441,433,361,361,362,362,350,350,350,326,328,329,272,272,234,166,188,188,188,188,183,181,169,169,176,224,228,228,228,212,212,212,212,212,133,133,133,140,156,156,156,156,156,223,223,223,223,223,276,277,277,259,259,249,249,274,272
1.2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6570,5175,5175,5119,2690,2690,2632,2473,587,587,644,636,541,533,403,403,404,404,398,398,398,374,376,377,319,319,281,193,215,215,215,215,210,208,196,196,203,251,255,255,255,239,239,239,239,239,160,160,160,167,183,183,183,183,183,250,250,250,250,250,303,304,304,286,286,276,276,301,299
1.2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5427,5427,5423,2799,2799,2741,2554,608,608,665,657,541,533,403,403,404,404,398,398,398,374,376,377,319,319,281,193,215,215,215,215,210,208,196,196,203,251,255,255,255,239,239,239,239,239,160,160,160,167,183,183,183,183,183,250,250,250,250,250,303,304,304,286,286,276,276,301,299
1.2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7058,7045,3927,3927,3887,3659,724,724,781,782,616,595,466,466,467,467,460,460,460,436,425,426,344,344,306,218,240,240,240,240,235,233,221,221,228,276,280,280,280,264,264,264,264,264,185,185,185,192,208,208,208,208,208,275,275,275,275,275,328,329,329,311,311,301,301,326,324
1.2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7045,3927,3927,3887,3659,724,724,781,782,616,595,466,466,467,467,460,460,460,436,425,426,344,344,306,218,240,240,240,240,235,233,221,221,228,276,280,280,280,264,264,264,264,264,185,185,185,192,208,208,208,208,208,275,275,275,275,275,328,329,329,311,311,301,301,326,324
1.2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3959,3959,3919,3667,724,724,781,782,616,595,466,466,467,467,460,460,460,436,425,426,344,344,306,218,240,240,240,240,235,233,221,221,228,276,280,280,280,264,264,264,264,264,185,185,185,192,208,208,208,208,208,275,275,275,275,275,328,329,329,311,311,301,301,326,324
1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8422,8114,7393,1348,1348,1373,1306,1006,974,777,777,766,755,672,672,672,648,637,638,526,526,488,390,369,369,369,369,320,318,306,306,313,361,365,365,365,350,350,350,350,350,270,270,270,277,293,293,293,293,293,361,361,361,361,361,407,408,392,374,374,352,352,400,398
1.3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8114,7393,1348,1348,1373,1306,1006,974,777,777,766,755,672,672,672,648,637,638,526,526,488,390,369,369,369,369,320,318,306,306,313,361,365,365,365,350,350,350,350,350,270,270,270,277,293,293,293,293,293,361,361,361,361,361,407,408,392,374,374,352,352,400,398
1.3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7827,1358,1358,1383,1316,1016,984,787,787,776,765,676,676,676,652,641,642,530,530,492,387,366,366,366,366,317,315,303,303,310,358,362,362,362,347,347,347,347,347,267,267,267,274,290,290,290,290,290,358,358,358,358,358,404,405,389,371,371,349,349,397,395
1.3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1662,1662,1684,1443,1064,1033,805,805,794,783,694,694,694,670,659,660,548,548,510,405,373,373,373,373,324,322,310,310,317,365,369,369,369,354,354,354,354,354,274,274,274,281,297,297,297,297,297,365,365,365,365,365,411,412,396,378,378,356,356,404,402
1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9802,9345,8389,6157,6004,4947,4947,4777,4688,3121,3121,3107,3008,2946,2947,2503,2503,2448,2142,1230,1230,1230,1230,842,827,775,775,782,775,779,779,779,693,693,693,693,693,646,646,646,653,623,623,623,623,623,630,630,630,630,630,656,656,638,620,620,566,566,553,551
1.4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9345,8389,6157,6004,4947,4947,4777,4688,3121,3121,3107,3008,2946,2947,2503,2503,2448,2142,1230,1230,1230,1230,842,827,775,775,782,775,779,779,779,693,693,693,693,693,646,646,646,653,623,623,623,623,623,630,630,630,630,630,656,656,638,620,620,566,566,553,551
1.4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8942,6593,6445,5229,5229,5055,4968,3262,3262,3248,3149,3087,3088,2629,2629,2590,2215,1299,1299,1299,1299,891,876,818,818,825,818,822,822,822,714,714,714,714,714,687,687,687,694,664,664,664,664,664,671,671,671,671,671,697,697,679,661,661,601,601,588,586
1.4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7406,7327,5999,5999,5799,5690,4147,4147,4097,3933,3863,3864,2799,2799,2790,2383,1328,1328,1328,1328,865,850,792,792,799,792,796,796,796,709,709,709,709,709,688,690,690,697,645,645,645,645,645,675,675,675,675,675,701,701,683,665,665,605,605,592,590
1.4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11112,8942,8942,8565,8437,6568,6568,6534,6252,6058,6059,4471,4471,4414,3686,1921,1887,1887,1853,1213,1220,1115,1115,1118,1054,1058,1058,1058,943,943,943,943,943,842,844,844,847,810,810,811,811,811,817,817,817,817,817,846,847,822,804,804,772,772,691,689
1.4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9403,9403,8971,8858,6912,6912,6877,6505,6309,6310,4648,4648,4610,3774,1973,1939,1939,1905,1259,1266,1161,1161,1164,1087,1091,1091,1091,974,974,974,974,974,886,888,888,891,841,841,842,842,842,848,848,848,848,848,877,878,853,835,835,803,803,722,720
1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13536,12276,12075,9730,9730,9679,9370,8823,8824,6766,6766,6615,5759,3088,3054,3053,3026,1678,1684,1534,1534,1537,1369,1373,1373,1373,1233,1233,1233,1233,1233,1126,1128,1128,1131,1060,1060,1061,1061,1061,1062,1062,1062,1062,1062,1085,1086,1065,1047,1047,1000,1000,913,911
1.5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12276,12075,9730,9730,9679,9370,8823,8824,6766,6766,6615,5759,3088,3054,3053,3026,1678,1684,1534,1534,1537,1369,1373,1373,1373,1233,1233,1233,1233,1233,1126,1128,1128,1131,1060,1060,1061,1061,1061,1062,1062,1062,1062,1062,1085,1086,1065,1047,1047,1000,1000,913,911
1.5.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13527,10728,10728,10685,10318,9887,9888,7457,7457,7339,6508,3753,3719,3708,3691,2070,2026,1875,1875,1878,1567,1571,1560,1560,1388,1388,1388,1388,1388,1248,1250,1250,1253,1207,1207,1197,1197,1197,1154,1154,1154,1154,1154,1157,1158,1133,1115,1115,1061,1061,974,972
1.5.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11140,11140,11007,10652,10222,10223,7632,7632,7514,6637,3813,3779,3740,3751,2103,2095,1944,1944,1947,1567,1571,1560,1560,1388,1388,1388,1388,1388,1266,1268,1268,1271,1207,1207,1197,1197,1197,1154,1154,1154,1154,1154,1157,1158,1133,1115,1115,1061,1061,960,958
1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14850,14631,14038,13440,13439,10046,10046,9787,8777,5006,4982,4913,4898,2868,2834,2451,2451,2454,1845,1847,1836,1836,1656,1656,1656,1656,1656,1675,1667,1667,1670,1379,1378,1368,1368,1368,1292,1292,1292,1292,1292,1295,1296,1267,1249,1249,1175,1175,1075,1073
1.6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14631,14038,13440,13439,10046,10046,9787,8777,5006,4982,4913,4898,2868,2834,2451,2451,2454,1845,1847,1836,1836,1656,1656,1656,1656,1656,1675,1667,1667,1670,1379,1378,1368,1368,1368,1292,1292,1292,1292,1292,1295,1296,1267,1249,1249,1175,1175,1075,1073
1.6.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14383,13772,13772,10285,10285,9992,9002,5212,5188,5115,5100,2972,2938,2554,2554,2557,1885,1887,1876,1876,1697,1697,1697,1697,1697,1692,1684,1684,1687,1358,1357,1347,1347,1347,1269,1269,1269,1269,1269,1272,1273,1252,1234,1234,1160,1160,1060,1058
